159.8, 121.64, 120.84, 151.08, 180.64, 192.12, 171.76, 170.6, 168.64, 148, 189.4, 192.24, 167, 29.6, 46.2539771262969, 53.2125398754842, 55.2824890901269, 44.165941629269, 26.5274499339835, 18.476536471969, 24.9847953763884, 16.1093264911976, 2, 14.8, 25.7763922999321, 25.9214197142055, 0
231, 146.6, 133.32, 142.4, 150.28, 159.68, 146.88, 149, 147.8, 156.8, 219, 161.24, 156.36, 29.3938769133981, 70.2748888295101, 72.323008786969, 68.6049560891923, 44.6313970204832, 22.2615722715176, 19.9485738838645, 27.261694738222, 16.1294761229248, 3.91918358845308, 0, 25.3886273752639, 34.2752155354273, 0
255, 217.04, 211.68, 214.88, 201.72, 192.8, 173.44, 185, 170.6, 161.6, 219, 185.16, 189, 0, 55.1539518076448, 56.2762614252226, 50.6709542045539, 46.7405776601017, 27.4605171109358, 23.6170785661563, 29.652655867561, 18.6268623230001, 1.95959179422654, 0, 26.3038856445203, 36.9085355981513, 0
255, 249.96, 252.68, 251.68, 254.68, 253, 248.68, 241.2, 241.6, 163.4, 226.2, 253.84, 254.72, 0, 18.8371547745407, 11.3656324065139, 13.2203479530608, 1.56767343538123, 9.79795897113271, 14.8100506413719, 26.9666460650931, 20.6630104292671, 1.2, 14.4, 5.68281620325697, 1.37171425595858, 0
255, 217.64, 217.72, 219.56, 233.72, 203.16, 192.6, 183.28, 179.2, 161, 255, 213.68, 237.2, 0, 45.8936858402112, 44.2144953606846, 41.3028618863149, 23.4802384996405, 29.8243927012773, 33.5404233724024, 31.6234343485966, 26.0169175729947, 0, 0, 21.0118442788823, 13.0690474021636, 0
255, 246.84, 248.36, 246.72, 253.32, 223.2, 215.04, 201.96, 198.16, 170, 219, 205.36, 228.2, 0, 24.7170872070315, 19.2870526519736, 24.4418002610282, 5.69715718582523, 11.9733036376766, 18.7264091592595, 20.7431530872237, 15.288374668355, 0, 0, 8.25047877398639, 12.2963409191515, 0
176.4, 205.08, 200.2, 208.24, 209.2, 187.08, 163.52, 165.04, 159.88, 132.6, 189.8, 174, 163.36, 28.9039789648415, 45.2750880728022, 47.3522966708057, 33.9638395944864, 26.5073574692009, 13.1511824563421, 11.0131557693515, 17.0984911615031, 12.0973385502763, 5.38887743412299, 35.7625502446344, 21.7586764303346, 28.4237647049085, 0
222, 153.04, 144.56, 154.48, 168.88, 165.88, 147.76, 140.28, 146.04, 147.8, 219, 169.6, 169.28, 26.944387170615, 44.5102055713069, 47.0260183302818, 44.4532293540076, 34.8887603677746, 21.7169426945876, 21.4611835647524, 24.1586754603807, 18.3357137848517, 13.2272446110292, 0, 22.0526642381369, 23.6567453382751, 0
255, 243.96, 242.12, 245.92, 244.04, 231.76, 212.08, 223.4, 208.32, 166.6, 219, 227.8, 230.12, 0, 28.3879974637169, 32.9646113279074, 22.3569586482598, 19.7696332793504, 29.9336332575917, 43.8633514451415, 44.0290812986144, 41.2569703201774, 5.2, 0, 31.4731631711844, 31.5332459477295, 0
255, 203.52, 204.6, 202.04, 226.76, 221.44, 206.64, 183.08, 200.64, 177, 219, 237.4, 245.48, 0, 48.800918024152, 47.913254951005, 44.8842778709873, 34.6136158180563, 35.5168467068798, 38.3925826169587, 35.503149156096, 34.3335171516115, 0, 0, 22.1846793981793, 13.1578721684017, 0
